student_id,minutes_watched,years,paid_in_q2
6,81.03,2021,1
221,469.07,2021,1
516,46.27,2021,1
520,91.18,2021,1
523,1322.25,2021,1
594,3.73,2021,1
603,8.18,2021,1
608,387.68,2021,1
614,674.4,2021,1
616,1103.45,2021,1
618,546.35,2021,1
659,1337.6,2021,1
666,332.9,2021,1
691,499.52,2021,1
698,35.98,2021,1
699,0.13,2021,1
702,96.92,2021,1
709,2.3,2021,1
767,0.05,2021,1
778,201.6,2021,1
782,33.92,2021,1
800,482.23,2021,1
801,333.42,2021,1
804,514.07,2021,1
805,48.47,2021,1
810,190.17,2021,1
829,151.35,2021,1
830,0.35,2021,1
832,358.18,2021,1
838,507.82,2021,1
840,1122.13,2021,1
841,1298.88,2021,1
842,289.58,2021,1
851,375.37,2021,1
854,6.85,2021,1
862,978.92,2021,1
863,624.93,2021,1
865,1038.43,2021,1
869,175.87,2021,1
870,510.95,2021,1
872,6.72,2021,1
875,355.17,2021,1
876,2.13,2021,1
882,1080.68,2021,1
893,370.12,2021,1
894,0.07,2021,1
900,283.32,2021,1
902,34.62,2021,1
903,141.35,2021,1
908,2278.02,2021,1
911,878.07,2021,1
916,339.07,2021,1
928,99.05,2021,1
930,159.52,2021,1
933,717.52,2021,1
936,379.87,2021,1
956,1.92,2021,1
959,12.3,2021,1
961,326.13,2021,1
965,1125.8,2021,1
969,57.8,2021,1
973,43.7,2021,1
977,0.6,2021,1
982,38.85,2021,1
985,57.78,2021,1
986,0.07,2021,1
987,149.6,2021,1
988,364.28,2021,1
991,1640.47,2021,1
994,280.97,2021,1
998,6.63,2021,1
999,117.92,2021,1
1002,1394.52,2021,1
1006,16.33,2021,1
1008,473.0,2021,1
1010,4.93,2021,1
1014,191.83,2021,1
1015,1026.3,2021,1
1016,56.18,2021,1
1018,171.12,2021,1
1019,8.58,2021,1
1029,62.65,2021,1
1033,0.05,2021,1
1034,107.75,2021,1
1035,1449.77,2021,1
1040,0.08,2021,1
1042,403.88,2021,1
1045,82.25,2021,1
1046,899.57,2021,1
1052,34.33,2021,1
1056,25.33,2021,1
1057,1075.13,2021,1
1063,1867.33,2021,1
1064,27.08,2021,1
1066,375.32,2021,1
1067,0.27,2021,1
1073,5.03,2021,1
1081,453.35,2021,1
1086,894.85,2021,1
1091,46.45,2021,1
1099,0.28,2021,1
1102,983.82,2021,1
1105,2.9,2021,1
1116,0.12,2021,1
1119,73.25,2021,1
1125,11.38,2021,1
1127,433.43,2021,1
1128,1002.52,2021,1
1132,139.87,2021,1
1140,137.6,2021,1
1143,21.02,2021,1
1145,657.35,2021,1
1151,122.35,2021,1
1155,9.13,2021,1
1158,4.58,2021,1
1165,40.68,2021,1
1166,338.82,2021,1
1169,49.65,2021,1
1173,487.4,2021,1
1175,35.25,2021,1
1183,1333.03,2021,1
1187,63.4,2021,1
1188,35.4,2021,1
1190,124.13,2021,1
1196,119.23,2021,1
1197,1758.28,2021,1
1201,200.12,2021,1
1207,184.1,2021,1
1209,6.47,2021,1
1211,615.1,2021,1
1212,42.02,2021,1
1214,36.08,2021,1
1215,1542.72,2021,1
1216,0.18,2021,1
1224,19.88,2021,1
1226,12.83,2021,1
1235,2.75,2021,1
1238,50.8,2021,1
1242,53.38,2021,1
1244,26.03,2021,1
1246,1475.23,2021,1
1249,12.23,2021,1
1253,0.15,2021,1
1257,2.07,2021,1
1259,759.92,2021,1
1266,227.62,2021,1
1271,40.55,2021,1
1272,234.0,2021,1
